FID,id,navn,navnekategori,navnekategori_txt,wkb_geometry
stednavn_punkt.fid--200d312a_166e1b25641_4078,34,Lufthavnen,19130,Station/Metro,MULTIPOINT ((12.649389204598918 55.63052706249855))
stednavn_punkt.fid--200d312a_166e1b25641_4079,35,Islev,19130,Station/Metro,MULTIPOINT ((12.46909390173782 55.699389891615944))
stednavn_punkt.fid--200d312a_166e1b25641_407a,36,Grøndal,19130,Station/Metro,MULTIPOINT ((12.515567547868768 55.69062901673653))
stednavn_punkt.fid--200d312a_166e1b25641_407b,37,Fuglebakken,19130,Station/Metro,MULTIPOINT ((12.527019854581582 55.69534900695067))
stednavn_punkt.fid--200d312a_166e1b25641_407c,38,Bispebjerg,19130,Station/Metro,MULTIPOINT ((12.541553831728466 55.70625290501671))
stednavn_punkt.fid--200d312a_166e1b25641_407d,39,Ryparken,19130,Station/Metro,MULTIPOINT ((12.559424290905925 55.7152303371333))
stednavn_punkt.fid--200d312a_166e1b25641_407e,40,Svanemøllen,19130,Station/Metro,MULTIPOINT ((12.578278638392884 55.71569612147444))
stednavn_punkt.fid--200d312a_166e1b25641_407f,41,Hellerup,19130,Station/Metro,MULTIPOINT ((12.566720237477423 55.73141262631802))
stednavn_punkt.fid--200d312a_166e1b25641_4080,42,Nordhavn,19130,Station/Metro,MULTIPOINT ((12.591263013489852 55.70468899416922))
stednavn_punkt.fid--200d312a_166e1b25641_4081,43,Østerport,19130,Station/Metro,MULTIPOINT ((12.587318708870807 55.6925521132949))
stednavn_punkt.fid--200d312a_166e1b25641_4082,44,Nørreport,19130,Station/Metro,MULTIPOINT ((12.571761714253826 55.6833000498909))
stednavn_punkt.fid--200d312a_166e1b25641_4083,45,Vesterport,19130,Station/Metro,MULTIPOINT ((12.562511070208261 55.67590905473198))
stednavn_punkt.fid--200d312a_166e1b25641_4084,46,Københavns Hovedbanegård,19130,Station/Metro,MULTIPOINT ((12.564592479491898 55.67282497194036))
stednavn_punkt.fid--200d312a_166e1b25641_4085,47,Danshøj,19130,Station/Metro,MULTIPOINT ((12.49379262141783 55.66454745042849))
stednavn_punkt.fid--200d312a_166e1b25641_4086,48,Ålholm,19130,Station/Metro,MULTIPOINT ((12.493183893724098 55.672159615441316))
stednavn_punkt.fid--200d312a_166e1b25641_4087,49,Dybbølsbro,19130,Station/Metro,MULTIPOINT ((12.559858524540068 55.664968007867195))
stednavn_punkt.fid--200d312a_166e1b25641_4088,50,Sydhavn,19130,Station/Metro,MULTIPOINT ((12.537324981698127 55.65434224540282))
stednavn_punkt.fid--200d312a_166e1b25641_4089,51,Sjælør,19130,Station/Metro,MULTIPOINT ((12.52695809050934 55.65158768232833))
stednavn_punkt.fid--200d312a_166e1b25641_408a,52,Ny Ellebjerg,19130,Station/Metro,MULTIPOINT ((12.51728415317508 55.652302891349095))
stednavn_punkt.fid--200d312a_166e1b25641_408b,53,Friheden,19130,Station/Metro,MULTIPOINT ((12.482125585734167 55.62910220170728))
stednavn_punkt.fid--200d312a_166e1b25641_408c,54,Avedøre,19130,Station/Metro,MULTIPOINT ((12.456322722832208 55.625783226258))
stednavn_punkt.fid--200d312a_166e1b25641_408d,55,Emdrup,19130,Station/Metro,MULTIPOINT ((12.541565892815964 55.72006163280941))
stednavn_punkt.fid--200d312a_166e1b25641_408e,56,Husum,19130,Station/Metro,MULTIPOINT ((12.463788778024757 55.70971850428385))
stednavn_punkt.fid--200d312a_166e1b25641_408f,57,Nørrebro,19130,Station/Metro,MULTIPOINT ((12.5377522643377 55.70053346086911))
